Artist,Date,Song
George Baker Selection,2015-07-05 15:53:00,Little Green Bag
Marah,2015-07-05 15:49:00,A Melody of Rain
Chris Stamey,2015-07-05 15:46:00,Universe-Sized Arms
David Bowie,2015-07-05 15:41:00,Ziggy Satrdust
The Olms,2015-07-05 15:39:00,Wanna Feel It
James Maddock,2015-07-05 15:34:00,Driving Around
Until The Ribbon Breaks,2015-07-05 15:29:00,A Taste of Silver
Kings Of Leon,2015-07-05 15:27:00,Molly's Chambers
The Cure,2015-07-05 15:24:00,Jumping Someone Else's Train
Fly Golden Eagle,2015-07-05 15:19:00,Tangible Intangible
Lucinda Williams,2015-07-05 15:14:00,2 Kool 2 Be 4-Gotten
Milo Greene,2015-07-05 15:10:00,1957
Talking Heads,2015-07-05 15:06:00,Mr. Jones
Lord Huron,2015-07-05 15:03:00,Fool For Love
Destroyer,2015-07-05 14:59:00,Dream Lover
The Smashing Pumpkins,2015-07-05 14:55:00,Being Beige
Haim,2015-07-05 14:51:00,The Wire
The Doughboys,2015-07-05 14:47:00,Shake It Loose
The Kooks,2015-07-05 14:44:00,Always Where I Need To Be
Letitia VanSant and the Bona,2015-07-05 14:40:00,Rising Tide
Jackson Browne,2015-07-05 14:36:00,You Love The Thunder
T. Hardy Morris,2015-07-05 14:33:00,My Me
Marian Hill,2015-07-05 14:29:00,One Time
Belle And Sebastian,2015-07-05 14:26:00,White Collar Boy
John Hiatt,2015-07-05 14:22:00,Slow Turning
Ryley Walker,2015-07-05 14:17:00,Summer Dress
The Stone Roses,2015-07-05 14:13:00,She Bangs the Drums
Travis,2015-07-05 14:09:00,Closer
Death Cab for Cutie,2015-07-05 14:05:00,Black Sun
Ray LaMontagne,2015-07-05 14:01:00,Meg White
Vance Joy,2015-07-05 13:57:00,Riptide
Modest Mouse,2015-07-05 13:53:00,Fire It Up
Beck,2015-07-05 13:48:00,Dreams
Gary Clark Jr.,2015-07-05 13:42:00,Bright Lights
Bob Dylan,2015-07-05 13:39:00,I Want You
Shakey Graves,2015-07-05 13:35:00,Dearly Departed (feat. Esme
My Morning Jacket,2015-07-05 13:30:00,Compound Fracture
ALO,2015-07-05 13:26:00,Dead Still Dance
KoKo Taylor,2015-07-05 13:21:00,Bring Me Some Water
Indigo Girls,2015-07-05 13:18:00,Happy In The Sorrow Key
Calexico,2015-07-05 13:14:00,Two Silver Trees (album vers
PJ Harvey,2015-07-05 13:09:00,To Bring You My Love
Seinabo Sey,2015-07-05 13:05:00,Hard Time
Radiohead,2015-07-05 12:59:00, Idioteque
Edward Sharpe and the Magnet,2015-07-05 12:55:00, Better Days
fun.,2015-07-05 12:51:00, Be Calm
Best Coast,2015-07-05 12:48:00, Feeling OK
Asgeir,2015-07-05 12:43:00, King And Cross
Marvin Gaye,2015-07-05 12:40:00, Mercy Mercy Me (The Ecology)
Dan Croll,2015-07-05 12:37:00, From Nowhere
The Parson Red Heads,2015-07-05 12:33:00, To The Sky
Counting Crows,2015-07-05 12:27:00, Anna Begins
Bob Schneider,2015-07-05 12:25:00, The Stars Over Your House
The Pretenders,2015-07-05 12:22:00, Boots Of Chinese Plastic
Rilo Kiley,2015-07-05 12:19:00, Silver Lining
Scars On 45,2015-07-05 12:14:00, Take You Home
Fleetwood Mac,2015-07-05 12:10:00, Sentimental Lady
Great Northern,2015-07-05 12:06:00, Houses
The Bamboos,2015-07-05 12:01:00, Avenger
Billy Bragg,2015-07-05 11:58:00, Accident Waiting To Happen
Devendra Banhart,2015-07-05 11:54:00, Baby
Boy And Bear,2015-07-05 11:51:00, Southern Sun
SOAK,2015-07-05 11:47:00, Sea Creatures
The Byrds,2015-07-05 11:43:00, I'll Feel A Whole Lot Better
Joshua James,2015-07-05 11:39:00, Magazine
Alabama Shakes,2015-07-05 11:36:00, Future People
Foals,2015-07-05 11:31:00, Total Life Forever
Ace Reporter,2015-07-05 11:28:00, Untouched And Arrived
Dire Straits,2015-07-05 11:24:00, Six Blade Knife
Warren Haynes,2015-07-05 11:20:00, Spots Of Time (ft. Railroad
Jackie Greene,2015-07-05 11:14:00, Like A Ball and Chain
Heartless Bastards,2015-07-05 11:11:00, Gates Of Dawn
First Aid Kit,2015-07-05 11:08:00, Blue
Lucius,2015-07-05 11:03:00, Don't Just Sit There
Yeasayer,2015-07-05 10:59:00, Ambling Alp
Catherine Wheel,2015-07-05 10:56:00, Crank
Franz Ferdinand,2015-07-05 10:52:00, Ulysses
Whitehorse,2015-07-05 10:50:00, Downtown
Dawes,2015-07-05 10:42:00, My Way Back Home
St. Vincent,2015-07-05 10:40:00, Actor Out of Work
The Helio Sequence,2015-07-05 10:37:00, Stoic Resemblance
The Cars,2015-07-05 10:32:00, Good Times Roll
Wild Feathers,2015-07-05 10:29:00, Got It Wrong
James,2015-07-05 10:25:00, Sit Down
Paul Weller,2015-07-05 10:22:00, Saturns Pattern
The Beatles,2015-07-05 10:17:00, Don't Let Me Down (with Bill
Paolo Nutini,2015-07-05 10:13:00, Coming Up Easy
Grand Funk Railroad,2015-07-05 10:10:00, Bad Time
Father John Misty,2015-07-05 10:07:00, True Affection
The Smiths,2015-07-05 10:04:00," Frankly, Mr. Shankly"
Paul Westerberg,2015-07-05 10:01:00, Mr. Rabbit
Veruca Salt,2015-07-05 09:58:00,Seether
Spoon,2015-07-05 09:55:00,TV Set
Peter Tosh,2015-07-05 09:50:00,No Sympathy
The Cowboy Junkies,2015-07-05 09:46:00,A Common Disaster
Stars,2015-07-05 09:43:00,Fixed
The Duhks,2015-07-05 09:39:00,You Don't See It
Laura Marling,2015-07-05 09:36:00,False Hope
Ha Ha Tonka,2015-07-05 09:31:00,Rewrite Our Lives
Regina Spektor,2015-07-05 09:27:00,Don't Leave Me
Ramones,2015-07-05 09:25:00,Rockaway Beach
Anderson East,2015-07-05 09:23:00,Satisfy Me
Gomez,2015-07-05 09:17:00,Girlshapedlovedrug
Susan Tedeschi,2015-07-05 09:14:00,Tired of My Tears
Fly Golden Eagle,2015-07-05 09:09:00,Tangible Intangible
The Cure,2015-07-05 09:04:00,A Letter to Elise
Zeus,2015-07-05 09:01:00,Are You Gonna Waste My Time
BoDeans,2015-07-05 08:58:00,Closer to Free
The Revelations,2015-07-05 08:55:00,Why When Love Is Gone
San Fermin,2015-07-05 08:51:00,Emily
Sallie Ford And the Sound Ou,2015-07-05 08:47:00,Party Kids
Violent Femmes,2015-07-05 08:45:00,Kiss Off
Elizabeth and the Catapult,2015-07-05 08:41:00,Taller Children
The Decemberists,2015-07-05 08:37:00,The Wrong Year
Liz Phair,2015-07-05 08:33:00,"6'1"""
Jamestown Revival,2015-07-05 08:28:00,California (cast iron soul)
Otis Redding,2015-07-05 08:26:00,(I Can't Get No) Satisfactio
Ryley Walker,2015-07-05 08:22:00,Primrose Green
The Killers,2015-07-05 08:17:00,Runaways
Alternate Routes,2015-07-05 08:14:00,Nobody Else
Pearl Jam,2015-07-05 08:10:00,Better Man
Neil Finn,2015-07-05 08:05:00,Flying In The Face Of Love
K's Choice,2015-07-05 08:00:00,Not an Addict
Sarah Jaffe,2015-07-05 07:55:00,Clementine
Jesse Malin,2015-07-05 07:52:00,Addicted
10.000 Maniacs,2015-07-05 07:49:00,My Sister Rose
Derek Trucks Band,2015-07-05 07:46:00,Already Free
Lord Huron,2015-07-05 07:43:00,Fool For Love
Dar Williams,2015-07-05 07:39:00,It's Alright
Van Hunt,2015-07-05 07:34:00,At The End Of A Slow Dance
SOAK,2015-07-05 07:31:00,Sea Creatures
Midnight Oil,2015-07-05 07:27:00,Blue Sky Mine
Nickel Creek,2015-07-05 07:24:00,Hayloft
Ivan And Alyosha,2015-07-05 07:21:00,All This Wandering Around
Fat Freddys Drop,2015-07-05 07:14:00,Flashback
Turbo Fruits,2015-07-05 07:11:00,The Way I Want You
The Raspberries,2015-07-05 07:08:00,Go All the Way
Conor Oberst and the Mystic,2015-07-05 07:03:00,Nikorette
Saint Motel,2015-07-05 07:00:00,My Type
Fistful Of Mercy,2015-07-05 06:56:00,Father's Son
Father John Misty,2015-07-05 06:53:00,True Affection
Bjork,2015-07-05 06:49:00,Big Time Sensuality
Squeeze,2015-07-05 06:45:00,Tempted
Alabama Shakes,2015-07-05 06:42:00,Future People
Sharon Van Etten,2015-07-05 06:39:00,Serpents
J.J. Cale,2015-07-05 06:34:00,Ride The River
Bob Schneider,2015-07-05 06:31:00,The Stars Over Your House
Bruce Springsteen,2015-07-05 06:28:00,Save My Love
Phish,2015-07-05 06:23:00,Waiting All Night
Good Old War,2015-07-05 06:20:00,Tell Me What You Want From M
Virginia Coalition,2015-07-05 06:15:00,Mason Dixon
Courtney Barnett,2015-07-05 06:12:00,Dead Fox
Echo and the Bunnymen,2015-07-05 06:07:00,Lips Like Sugar
Robert Palmer,2015-07-05 06:04:00,"Man Smart, Woman Smarter"
The Reverend Peyton's Big Da,2015-07-05 06:01:00,Let's Jump A Train
Rachael Yamagata,2015-07-05 05:56:00,Starlight
Scars On 45,2015-07-05 05:53:00,Take You Home
The Shins,2015-07-05 05:49:00,It's Only Life
Turin Brakes,2015-07-05 05:45:00,Pain Killer (Summer Rain)
Kaiser Chiefs,2015-07-05 05:41:00,Falling Awake
John Mayer,2015-07-05 05:37:00,Gravity
Bonnie Raitt,2015-07-05 05:34:00,"Good Man, Good Woman"
Indigo Girls,2015-07-05 05:31:00,Happy In The Sorrow Key
Los Lonely Boys,2015-07-05 05:27:00,Staying With Me
Delta Spirit,2015-07-05 05:23:00,Language Of The Dead
Holly Miranda,2015-07-05 05:21:00,All I Want Is To Be Your Gir
The Flaming Lips,2015-07-05 05:17:00,She Don't Use Jelly
Best Coast,2015-07-05 05:14:00,Feeling OK
Marc Broussard,2015-07-05 05:09:00,Home
Alejandro Escovedo,2015-07-05 05:05:00,Anchor
Dawes,2015-07-05 05:01:00,Things Happen
Andrew Bird,2015-07-05 04:58:00,Fitz and the Dizzyspells
Marian Hill,2015-07-05 04:54:00,One Time
The Gaslight Anthem,2015-07-05 04:50:00,Here Comes My Man
Sea Wolf,2015-07-05 04:45:00,"White Water, White Bloom"
My Morning Jacket,2015-07-05 04:42:00,Compound Fracture
Faces,2015-07-05 04:38:00,Ooh La La
JJ Grey and Mofro,2015-07-05 04:34:00,Orange Blossoms
Beck,2015-07-05 04:29:00,Dreams
The Beatles,2015-07-05 04:27:00,Happiness is a Warm Gun
Arcade Fire,2015-07-05 04:22:00,Reflektor
Seinabo Sey,2015-07-05 04:18:00,Hard Time
Jason Isbell and the 400 Uni,2015-07-05 04:13:00,Seven-Mile Island
Chris Stamey,2015-07-05 04:10:00,Universe-Sized Arms
Bret Dennen,2015-07-05 04:07:00,Wild Child
Bon Iver,2015-07-05 04:04:00,Towers
Meg Mac,2015-07-05 04:01:00,Roll Up Your Sleeves
Guster,2015-07-05 03:57:00,Careful
Grace Potter,2015-07-05 03:54:00,Alive Tonight
Melissa Etheridge,2015-07-05 03:50:00,Falling Up
Goldspot,2015-07-05 03:47:00,The Grocery Store
Kaleo,2015-07-05 03:43:00,All The Pretty Girls
The Avett Brothers,2015-07-05 03:39:00,Talk On Indolence
Galactic,2015-07-05 03:35:00,Into The Deep (ft. Macy Gray
Jeb Loy Nichols,2015-07-05 03:31:00,Say Goodbye To Christopher
Liam Bailey,2015-07-05 03:28:00,Summer Rain
Laura Marling,2015-07-05 03:25:00,False Hope
John Butler Trio,2015-07-05 03:19:00,Bound to Ramble
James Maddock,2015-07-05 03:14:00,Driving Around
Joe Jackson,2015-07-05 03:10:00,Sunday Papers
Dave Matthews Band,2015-07-05 03:06:00,Best of What's Around
Ryley Walker,2015-07-05 03:01:00,Summer Dress
The Hold Steady,2015-07-05 02:57:00,The Weekenders
Fly Golden Eagle,2015-07-05 02:51:00,Tangible Intangible
Police,2015-07-05 02:49:00,Canary in a Coalmine
Outer Spaces,2015-07-05 02:46:00,True Blue
Father John Misty,2015-07-05 02:43:00,True Affection
City and Colour,2015-07-05 02:39:00,Thirst
Rolling Stones,2015-07-05 02:35:00,Torn and Frayed
Hollis Brown,2015-07-05 02:31:00,3 Shots
James Bay,2015-07-05 02:28:00,Hold Back the River
Alabama Shakes,2015-07-05 02:24:00,Future People
R.E.M.,2015-07-05 02:21:00,Green Grow the Rushes
San Fermin,2015-07-05 02:17:00,Emily
David Gray,2015-07-05 02:08:00,Say Hello Wave Goodbye
Scars On 45,2015-07-05 02:03:00,Crazy For You
